fromstn,tostn,fromhgt,tohgt,obstype,obsset,obsdate,value,error,calcval,residual,reserr,stdres
WAS3,WAN3,1.6,1.62,SD,88,2015-03-15 00:00:00,88.959900,0.000190,88.960168,-0.000268,0.000188,1.4259
WAS3,WAN3,1.6,1.62,ZD,89,2015-03-15 00:00:00,92.083510,0.000728,92.083457,0.000053,0.000655,0.0814
WAS3,WANE,1.6,1.7,HA,90,2015-03-15 00:00:00,0.000220,0.000980,0.000218,0.000002,0.000848,0.0021
WAS3,WANW,1.6,1.68,HA,90,2015-03-15 00:00:00,9.040530,0.000980,9.040506,0.000024,0.000848,0.0278
WAS3,WAW2,1.6,1.58,HA,90,2015-03-15 00:00:00,17.641620,0.000980,17.642054,-0.000434,0.000846,0.5135
WAS3,WAN3,1.6,1.62,HA,90,2015-03-15 00:00:00,208.567670,0.000980,208.567261,0.000409,0.000838,0.4879
WAS3,WAN3,1.595,1.615,SD,91,2015-03-16 00:00:00,88.960700,0.000190,88.960177,0.000523,0.000188,2.7822
WAS3,WAN3,1.595,1.615,ZD,92,2015-03-16 00:00:00,92.082900,0.000728,92.083620,-0.000720,0.000655,1.0996
WAS3,WAW3,1.595,1.574,SD,93,2015-03-16 00:00:00,83.114300,0.000190,83.114264,0.000036,0.000183,0.1989
WAS3,WAW3,1.595,1.574,ZD,94,2015-03-16 00:00:00,84.952360,0.000728,84.952479,-0.000119,0.000663,0.1791
WAS3,WAN3,1.595,1.615,HA,95,2015-03-16 00:00:00,359.999820,0.000980,359.999307,0.000513,0.000685,0.7490
WAS3,WAW3,1.595,1.574,HA,95,2015-03-16 00:00:00,167.697640,0.000980,167.698153,-0.000513,0.000685,0.7490
WAS3,WAN3,1.595,1.615,SD,96,2015-03-16 00:00:00,88.960800,0.000190,88.960177,0.000623,0.000188,3.3143
WAS3,WAN3,1.595,1.615,ZD,97,2015-03-16 00:00:00,92.083640,0.000728,92.083620,0.000020,0.000655,0.0310
WAS3,WAW3,1.595,1.574,SD,98,2015-03-16 00:00:00,83.114400,0.000190,83.114264,0.000136,0.000183,0.7462
WAS3,WAW3,1.595,1.574,ZD,99,2015-03-16 00:00:00,84.952580,0.000728,84.952479,0.000101,0.000663,0.1526
WAS3,WAN3,1.595,1.615,HA,100,2015-03-16 00:00:00,-0.000130,0.000980,-0.000688,0.000558,0.000685,0.8147
WAS3,WAW3,1.595,1.574,HA,100,2015-03-16 00:00:00,167.697600,0.000980,167.698158,-0.000558,0.000685,0.8147
WAS3,WAN3,1.595,1.615,SD,101,2015-03-16 00:00:00,88.960800,0.000190,88.960177,0.000623,0.000188,3.3143
WAS3,WAN3,1.595,1.615,ZD,102,2015-03-16 00:00:00,92.083030,0.000728,92.083620,-0.000590,0.000655,0.9010
WAS3,WAW3,1.595,1.574,SD,103,2015-03-16 00:00:00,83.114300,0.000190,83.114264,0.000036,0.000183,0.1989
WAS3,WAW3,1.595,1.574,ZD,104,2015-03-16 00:00:00,84.953000,0.000728,84.952479,0.000521,0.000663,0.7859
WAS3,WAN3,1.595,1.615,HA,105,2015-03-16 00:00:00,-0.000060,0.000980,-0.000608,0.000548,0.000685,0.8001
WAS3,WAW3,1.595,1.574,HA,105,2015-03-16 00:00:00,167.697690,0.000980,167.698238,-0.000548,0.000685,0.8001
WAS3,WAN3,1.595,1.615,SD,106,2015-03-16 00:00:00,88.960800,0.000190,88.960177,0.000623,0.000188,3.3143
WAS3,WAN3,1.595,1.615,ZD,107,2015-03-16 00:00:00,92.083100,0.000728,92.083620,-0.000520,0.000655,0.7940
WAS3,WAW3,1.595,1.574,SD,108,2015-03-16 00:00:00,83.114400,0.000190,83.114264,0.000136,0.000183,0.7462
WAS3,WAW3,1.595,1.574,ZD,109,2015-03-16 00:00:00,84.952740,0.000728,84.952479,0.000261,0.000663,0.3939
